"Country Name","Country Code","Arrangement Type","Approval Date","Approval Year","Intial End Date","Initial End Year","Mneumonic","Description","Program year","Year Type","Indicator Currency","Sort","Year_Actual","T","T-1","T-2","T-3","T+1","T+2","T+3","T+4"
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,1995,NA,NA,NA,NA,NA,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,1996,NA,NA,NA,NA,NA,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,1997,NA,11.1,NA,NA,NA,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,1999,NA,NA,NA,NA,-5.8,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,2000,NA,NA,NA,NA,NA,0,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,2001,NA,NA,NA,NA,NA,NA,0,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,2002,NA,NA,NA,NA,NA,NA,NA,0
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ bn",-1,NA,-20.4,NA,NA,NA,NA,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ mn",1,1995,NA,NA,NA,NA,NA,NA,NA,NA
"INDONESIA",536,"EFF","2/4/2000",2000,"12/31/2002",2002,"BAR","Changes in External Payments Arrears (+ increases)",2000,"CY","US$ mn",1,1996,NA,NA,NA,NA,NA,NA,NA,NA
