Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003]
Singapore,SGP,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,10.7890403337289,10.4867490006047,6.94723467691769,7.38285232117455,12.4657965366378,9.84761864191488,6.2079016631525,8.365996945161,9.39363981108374,-2.80576612417663,4.89815570971382,7.99379827630342,3.47249025891949,3.75121921646576,5.9240762907871
Singapore,SGP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2004401126.34651,-3540955568.63323,-4361263060.40346,-887372362.847611,-2534424577.43861,-3973107582.21931,-4463391833.49502,-2028451894.71464,-3278812549.56457,-2337473771.63622,-10542983399.7722,-8666947672.90103,3197593377.32266,-3321924916.67078,-13325692856.6646
Singapore,SGP,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,2496592331.78511,2536670589.96616,4589273827.09618,4842026642.65688,4552260013.02769,10500285607.8209,14737243143.1343,15768053998.4363,14747584841.3401,18428040921.7247,14673236483.9219,11853210335.0999,14812617467.2696,17051322982.2973,27295921783.9684
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.1588286387889,9.82089955731777,6.68839753958379,6.63980556949564,11.459650875246,11.0956893100227,7.17540112091071,7.47139086002002,8.31620911124497,-2.19101500611274,5.71837175710837,9.03831632555163,-1.07086275100448,3.92336076702013,4.54825542643229
Thailand,THA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,25290984353.3165,29229483219.4249,35504312762.1097,41387414595.1466,47465138939.8184,56144195298.7918,70291857803.1595,71415808938.0424,72419158862.1629,65908516080.9285,71410225658.8533,81761851505.617,76106587483.3236,81442771879.842,93881649848.3665
Thailand,THA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,27254649705.291,35870492151.9516,42261269853.2652,46628695138.7373,53163428656.6689,63599892566.247,82246479491.8582,83481666964.5196,72438833707.9203,48513301439.2143,56344573035.4448,71653259542.5575,69149267285.2303,73728626492.3017,85077535607.2188
Thailand,THA,Total reserves minus gold (current US$),FI.RES.XGLD.CD,9515327542.25037,13305058641.9314,17517184954.7269,20358625049.8439,24472852732.4865,29332156100.0463,35982010292.4213,37731192730.5617,26179463599.9093,28825064036.9466,34062847866.224,32015871090.0388,32354786129.7247,38046430773.6231,41076930759.8806
Thailand,THA,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,41.22,..,41.99,..,44.17,..,21.77,..,..,..,42.61,17.12,14.71,..,13.75
Thailand,THA,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,9.59912184914191,-4.68671469510112,7.25815322330654,4.7877909066645,-40.7954714762547,6.67226846624477,1.27904686884601,5.2912239084572,-0.481064435857306,0.685188879249949,4.82588302509237,6.79920180034459,3.08110510698367,0.113188337808296,11.955286319895
Thailand,THA,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,16.0279234673018,15.6747223449077,11.7214357807512,11.3014752364031,-11.2110184204512,8.31742657585355,11.2172459022959,5.88943606179552,0.937216817472986,-8.30167038573227,9.85638087772855,3.27656043028766,1.96389583822484,8.86231657738159,10.2012707292805
Thailand,THA,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,7.10435167652714,7.50833653202901,4.94159355717028,-2.07329170492844,-6.5195454231304,3.05398754976373,5.3095244453212,4.20509543783413,5.62284094150233,5.13997830174526
